"","year","area","variable","Agua","Emisiones GEI","Emisiones de CO₂","Energía","Materiales","Nitrógeno","Tierras de cultivo","PIB","Población","IDH-A","IDH"
"75",1934,"España","Absoluto",4447301370.10538,45040152.0888245,19573088,16808900.4355314,113003439.750141,304886977.433703,22212136.2829427,91986588995.592,24349000,NA,NA
"76",1935,"España","Absoluto",4511639799.47971,48237084.6663378,21786144,18144320.0854475,112353424.639658,303596220.809982,21964432.5285631,93457134006.689,24579000,NA,NA
"77",1936,"España","Absoluto",2985413485.25982,32492676.0499183,7756824,12822594.1465161,95027381.2677276,275785841.682873,19593302.9476932,71257281570.002,24810000,NA,NA
"78",1937,"España","Absoluto",4246855518.30398,33543301.7606232,5056320,11817440.1099586,91527898.9166853,266429561.276295,19595712.9356006,66366879752.4332,25043000,NA,NA
"79",1938,"España","Absoluto",4279747621.66187,36740979.1070205,12926592,14832567.3026872,97624547.0562129,257071936.107328,19597909.7730755,66548260664.9824,25279000,NA,NA
"80",1939,"España","Absoluto",3432260440.3352,42539165.046661,15124992,15656280.3725889,101183250.020838,232842039.38317,18298000.0072436,73524116556.6743,25517000,NA,NA
"81",1940,"España","Absoluto",3893167955.8339,50392621.6205169,20848160,18022051.6514207,103766537.759742,237097647.878074,19705336.5710178,81571533645.7725,25757000,NA,NA
"82",1941,"España","Absoluto",3401479018.74832,48139667.9219931,20697936,17907770.7044998,107045930.015549,247420544.517941,20359273.4193921,82802975294.0089,25979000,NA,NA
"83",1942,"España","Absoluto",4099074970.66471,58662173.7577788,22244144,18126506.7861286,111447555.610386,239706546.276305,20095747.7795566,88732914664.9896,26182000,NA,NA
"84",1943,"España","Absoluto",3907074253.42326,56662987.8952089,23009920,18480191.0763631,109139685.75435,234498507.332325,19889186.6740931,93584151029.5883,26387000,NA,NA
"85",1944,"España","Absoluto",4161923775.54569,55821415.2433774,24878691,18920918.449874,113773590.886721,229584055.699166,19667141.8292599,97622432966.0565,26594000,NA,NA
"86",1945,"España","Absoluto",4785598899.64324,61638803.464132,27315120,18671777.5589191,100931451.20075,212128990.606463,19378858.9097787,89865208409.4085,26802000,NA,NA
"87",1946,"España","Absoluto",3809477113.2478,59253148.8745117,27025664,19569921.4883494,114339969.555541,232648708.235125,19886445.024757,93683105065.0784,27012000,NA,NA
"88",1947,"España","Absoluto",3959497459.6469,60142298.4211352,30092432,19916755.0719312,111316825.78465,239125486.472458,20097807.9945417,95527644265.1091,27223000,NA,NA
